GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G1801630","2014","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",27408,25517,282,179,505,1028,334,1285,1187,2773,2307,2616,2480,2557,937,2128,1455,1191,1127,505,64,84,493,1891,"Vanderburgh County, Indiana",2126,2024,276,173,422,516,272,631,572,908,769,915,802,775,383,797,616,456,644,307,83,119,339,641
"G1801670","2014","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",16248,14672,335,259,28,430,376,659,1839,1303,1472,2845,828,1076,574,278,507,513,462,458,96,284,50,1576,"Vigo County, Indiana",1407,1332,202,299,50,314,354,384,718,582,605,890,464,482,424,222,411,459,317,322,116,214,83,664
"G1801770","2014","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",8413,8114,167,415,65,381,587,239,942,1467,913,715,532,402,445,30,187,145,462,20,0,0,0,299,"Wayne County, Indiana",808,832,190,277,89,330,494,142,464,659,358,320,324,301,333,43,152,184,434,34,187,187,187,211
"G1900130","2014","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",17897,17263,47,172,175,488,287,376,1007,715,1733,2283,1630,1362,1589,1797,823,647,519,743,432,324,114,634,"Black Hawk County, Iowa",1627,1575,89,208,182,339,213,234,477,428,739,876,666,502,577,632,465,364,308,413,354,258,135,308
"G1900490","2014","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",6793,6450,114,0,9,151,215,232,178,214,335,375,182,383,465,776,410,672,354,748,161,321,155,343,"Dallas County, Iowa",924,929,226,155,18,135,193,195,132,214,287,344,146,268,288,533,266,550,337,409,186,333,130,161
"G1900610","2014","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",10620,9915,35,66,31,294,139,184,583,727,1158,1119,705,1129,548,493,503,772,628,469,183,77,72,705,"Dubuque County, Iowa",1022,1040,62,78,31,258,124,157,254,377,464,599,307,558,252,284,298,447,413,207,209,126,120,415
"G1901030","2014","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",21241,20969,0,42,123,234,151,110,0,650,1305,1020,1295,1048,1368,1662,1092,2250,1824,3538,2232,705,320,272,"Johnson County, Iowa",1872,1883,155,73,103,213,156,137,155,535,638,481,556,446,555,660,397,734,667,1169,976,364,245,209
"G1901130","2014","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",21733,20797,604,78,250,703,411,784,1377,1612,1997,2150,1577,908,1750,1446,1053,1355,1117,1370,172,83,0,936,"Linn County, Iowa",2134,2059,436,88,191,459,263,507,682,547,763,724,609,385,561,672,475,642,660,760,275,99,155,508
"G1901530","2014","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",60734,58817,371,319,368,849,701,670,1054,1908,2419,3617,4253,4236,7385,5367,3756,9138,3837,5083,2427,484,575,1917,"Polk County, Iowa",3355,3281,274,334,241,400,397,356,598,755,802,1022,911,980,1377,1132,1057,1697,982,1214,1256,312,400,741
"G1901550","2014","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",12085,11751,266,21,0,358,386,190,357,327,493,1365,1100,922,871,1182,1007,1423,472,366,325,33,287,334,"Pottawattamie County, Iowa",1264,1288,254,36,155,170,253,195,273,225,278,514,467,372,425,429,401,561,197,186,243,54,289,174
