GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G06020802","2015","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",31853,1862,2435,1505,2687,2584,2405,1975,2181,1139,2654,3752,2969,1991,703,524,487,"East Los Angeles CDP, California",1801,562,705,522,760,835,605,686,667,409,660,861,689,569,317,281,270
"G06021712","2015","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",32120,1864,2388,2534,1552,1225,2021,1897,1517,1194,2774,3601,3995,2815,1064,962,717,"El Cajon city, California",1713,683,709,775,528,456,739,684,606,413,812,1022,883,856,480,375,420
"G06022020","2015","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",49724,1336,1873,1489,1383,1159,1151,1566,1261,970,3324,5513,8498,5477,5071,6220,3433,"Elk Grove city, California",1903,521,825,677,660,534,366,640,584,386,926,1029,1296,1016,1041,974,751
"G06022230","2015","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",31474,1730,1738,2264,2992,1819,2074,2008,2826,1092,3319,3138,2722,1163,752,1204,633,"El Monte city, California",1430,581,590,639,1010,680,763,734,767,403,756,758,743,416,475,580,308
"G06022804","2015","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",45676,2066,1520,2782,1860,2315,2431,1939,2966,2702,4107,4637,5494,3863,2646,2551,1797,"Escondido city, California",2136,832,518,851,611,800,840,572,789,781,1142,923,1003,855,860,741,468
"G06023182","2015","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",35392,1835,1041,736,1426,1565,1602,1908,1384,1088,2297,3796,4824,4119,2221,3578,1972,"Fairfield city, California",1280,652,484,390,606,664,525,615,418,490,664,1008,920,845,567,767,604
"G06024477","2015","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",14511,1458,818,956,1023,722,784,1398,964,781,1324,1139,1356,1138,244,381,25,"Florence-Graham CDP, California",1130,581,361,418,430,385,338,503,460,357,517,439,458,415,198,298,40
"G06024638","2015","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",27044,540,562,553,716,749,541,414,658,866,1782,2312,3223,3105,2915,4043,4065,"Folsom city, California",1256,325,330,383,425,605,282,302,342,414,661,748,810,917,645,752,845
"G06024680","2015","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",49811,1413,2483,2123,1878,1815,3123,1955,1444,1697,4782,6583,8339,5546,2278,3005,1347,"Fontana city, California",1624,516,763,712,539,706,783,711,386,617,1089,1250,1257,1144,745,839,715
"G06026000","2015","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",73846,2115,1150,1065,1584,1444,1876,1490,1887,1442,2888,5631,9845,8910,6233,12662,13624,"Fremont city, California",2353,613,477,514,604,679,661,503,635,679,788,1102,1626,1381,1184,1652,1433
