GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G0600370","2011","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3201795,225857,196094,187708,183710,157444,159320,145882,141346,132558,235802,304822,366211,259595,150981,168863,185602,"Los Angeles County, California",8979,6464,6995,7041,7104,6665,6613,5420,6460,5971,8745,8145,10671,8128,5997,5667,5393
"G0600390","2011","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",40786,3083,1979,2250,3519,3126,2115,1576,1938,2436,4203,4485,3868,3219,1276,1173,540,"Madera County, California",1990,1104,623,626,1064,1004,680,612,712,774,1141,1029,868,866,584,598,401
"G0600410","2011","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",101723,4183,4354,3901,4314,2895,3799,3941,4322,3313,7398,7192,12038,9129,6848,8079,16017,"Marin County, California",2068,1028,1091,1206,1302,847,1110,999,1117,874,1503,1408,1655,1236,1408,1630,1924
"G0600450","2011","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",32497,2011,2653,1770,2986,2394,1613,1958,1335,1509,3401,3394,2486,2311,887,1025,764,"Mendocino County, California",1401,633,801,610,1005,713,585,638,572,510,911,889,804,845,393,482,361
"G0600470","2011","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",74833,5186,5954,5858,5228,6475,5283,3381,3881,3781,5661,6718,6960,4948,2345,1388,1786,"Merced County, California",1512,981,1190,1328,1121,1247,1194,796,985,865,1036,1208,1223,969,905,547,728
"G0600530","2011","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",123757,6902,5417,6269,7018,6189,7758,6740,5970,5523,10754,12357,14893,9553,6497,6542,5375,"Monterey County, California",2994,1280,1178,1081,1232,1146,1385,1429,1082,1082,1415,1630,1816,1396,1254,1186,976
"G0600550","2011","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",49933,1550,2704,2188,2564,2170,2077,2282,2710,2965,3110,5156,6385,4493,2432,3455,3692,"Napa County, California",1264,586,987,729,933,795,651,878,801,913,997,1247,1265,1011,644,920,799
"G0600570","2011","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",41171,2171,2180,2796,1883,2441,1531,1728,2018,2614,3307,3512,6115,2679,2052,2018,2126,"Nevada County, California",2156,729,840,952,657,782,571,786,807,961,976,997,1308,871,625,679,760
"G0600590","2011","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",992855,44969,38275,37795,40179,38318,39205,37888,37057,35730,67310,92956,127138,109852,69019,84031,93133,"Orange County, California",5422,3379,3087,3437,3209,3312,3138,2981,3406,3030,4071,5366,4510,5229,4175,5010,4602
"G0600610","2011","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",133290,6818,4426,7815,6082,4819,5564,5692,4980,2826,9059,13525,19859,13947,10096,9813,7969,"Placer County, California",2395,1353,1219,1888,1377,1333,1186,1330,1036,705,1805,2069,2541,2139,1760,1731,1543
"G0600650","2011","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",684794,40897,38198,37648,39891,33470,36921,32810,35546,28891,51296,72401,85421,57928,33634,35407,24435,"Riverside County, California",6855,3288,2916,3599,3447,3264,3787,3311,4645,3254,4120,4852,5607,4566,3600,3553,3070
"G0600670","2011","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",510517,33754,31249,24021,28154,26286,29164,25168,23438,21527,43268,54547,63732,38978,22257,27415,17559,"Sacramento County, California",5153,3465,2941,2342,2688,2835,2969,2730,2707,2762,3570,4201,5178,3047,2732,3210,2306
"G0600710","2011","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",609702,41778,34777,34785,35022,32093,30563,31859,30972,25532,51667,62260,76595,51041,26730,26369,17659,"San Bernardino County, California",6121,4645,3654,3291,3619,3080,2936,3444,3500,3103,4668,4683,5621,4236,3919,3917,2733
"G0600730","2011","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1061056,77048,48635,47202,51223,47395,48638,44479,45700,45720,77894,106676,135382,96942,60218,66596,61308,"San Diego County, California",6785,5609,3844,3361,3610,3407,3570,3694,3238,3289,4805,5667,7032,4790,3724,4550,3352
"G0600750","2011","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",342706,23534,20605,14773,16343,10726,13722,10002,12064,9576,20864,28116,36945,31444,24116,27365,42511,"San Francisco County, California",3616,3004,2383,1797,2344,1957,2113,1704,2331,1587,2636,2984,3337,3065,2649,2818,3223
