GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQDXE001,AQDXE002,AQDXE003,AQDXE004,AQDXE005,AQDXE006,AQDXE007,AQDXE008,AQDXE009,AQDXE010,AQDXE011,AQDXE012,AQDXE013,AQDXE014,AQDXE015,AQDXE016,AQDXE017,AQDXE018,AQDXE019,AQDXE020,AQDXE021,AQDXE022,AQDXE023,AQDXE024,AQDXE025,AQDXE026,AQDXE027,NAME_M,AQDXM001,AQDXM002,AQDXM003,AQDXM004,AQDXM005,AQDXM006,AQDXM007,AQDXM008,AQDXM009,AQDXM010,AQDXM011,AQDXM012,AQDXM013,AQDXM014,AQDXM015,AQDXM016,AQDXM017,AQDXM018,AQDXM019,AQDXM020,AQDXM021,AQDXM022,AQDXM023,AQDXM024,AQDXM025,AQDXM026,AQDXM027
"G41059000","2022","OR",,,"Oregon","41",,,"Portland city","59000",,,,,,,,,,,,,,,,"1600000US4159000","4159000","Portland city, Oregon",144708,882,158,294,223,0,373,219,972,268,225,340,501,72,442,702,466,519,1780,2608,17744,30202,53460,21932,8119,1481,726,"Portland city, Oregon",4853,613,147,249,198,214,344,237,684,251,198,279,534,85,278,406,353,510,530,777,1852,2197,3295,1936,1176,491,341
"G41064900","2022","OR",,,"Oregon","41",,,"Salem city","64900",,,,,,,,,,,,,,,,"1600000US4164900","4164900","Salem city, Oregon",37666,164,0,57,114,35,124,266,447,0,536,602,0,35,173,525,268,800,1304,2474,11100,8841,8603,858,131,0,209,"Salem city, Oregon",2492,198,214,100,142,58,152,245,293,214,432,649,214,56,208,394,195,671,774,1049,1832,1323,1507,472,123,214,184
"G42002000","2022","PA",,,"Pennsylvania","42",,,"Allentown city","02000",,,,,,,,,,,,,,,,"1600000US4202000","4202000","Allentown city, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allentown city, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G42006088","2022","PA",,,"Pennsylvania","42",,,"Bethlehem city","06088",,,,,,,,,,,,,,,,"1600000US4206088","4206088","Bethlehem city, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethlehem city, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G42024000","2022","PA",,,"Pennsylvania","42",,,"Erie city","24000",,,,,,,,,,,,,,,,"1600000US4224000","4224000","Erie city, Pennsylvania",22095,289,83,192,578,63,507,787,801,1071,1345,1819,2068,1753,3390,2340,2095,647,1050,447,219,238,218,95,0,0,0,"Erie city, Pennsylvania",2019,227,99,197,401,105,444,623,346,530,581,654,696,709,940,631,1079,380,494,300,165,226,186,121,190,190,190
"G42060000","2022","PA",,,"Pennsylvania","42",,,"Philadelphia city","60000",,,,,,,,,,,,,,,,"1600000US4260000","4260000","Philadelphia city, Pennsylvania",353535,3785,1880,1628,1437,1448,1328,2776,2777,4940,4328,10857,7828,7566,21298,15114,28101,23486,47783,45375,56017,22739,26025,7581,3906,1081,2451,"Philadelphia city, Pennsylvania",8809,1656,854,910,766,657,583,1110,1145,1243,1760,2941,2179,2158,3448,3171,3748,3179,5216,4708,4047,2644,3070,1564,1089,500,948
"G42061000","2022","PA",,,"Pennsylvania","42",,,"Pittsburgh city","61000",,,,,,,,,,,,,,,,"1600000US4261000","4261000","Pittsburgh city, Pennsylvania",67305,305,205,421,446,799,755,463,964,1797,1598,2009,1752,1990,6415,3377,4979,3894,8097,6025,8571,4544,4801,2133,788,72,105,"Pittsburgh city, Pennsylvania",3039,199,144,251,278,478,409,295,445,629,540,756,528,788,1592,1099,997,796,1303,1211,1504,1051,977,749,338,88,144
"G42063624","2022","PA",,,"Pennsylvania","42",,,"Reading city","63624",,,,,,,,,,,,,,,,"1600000US4263624","4263624","Reading city, Pennsylvania",13261,174,0,113,0,59,163,161,352,857,1235,398,1248,723,2412,859,2041,518,1029,449,470,0,0,0,0,0,0,"Reading city, Pennsylvania",1678,177,190,179,190,91,176,256,309,479,739,233,597,537,993,461,602,375,530,323,242,190,190,190,190,190,190
"G42069000","2022","PA",,,"Pennsylvania","42",,,"Scranton city","69000",,,,,,,,,,,,,,,,"1600000US4269000","4269000","Scranton city, Pennsylvania",15920,160,86,92,64,0,56,0,187,318,667,736,628,683,2097,1882,2396,2052,1499,979,550,276,321,191,0,0,0,"Scranton city, Pennsylvania",1406,157,104,150,112,190,99,190,186,216,391,344,365,401,722,781,708,899,601,351,344,202,305,250,190,190,190
"G44019180","2022","RI",,,"Rhode Island","44",,,"Cranston city","19180",,,,,,,,,,,,,,,,"1600000US4419180","4419180","Cranston city, Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cranston city, Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G44054640","2022","RI",,,"Rhode Island","44",,,"Pawtucket city","54640",,,,,,,,,,,,,,,,"1600000US4454640","4454640","Pawtucket city, Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pawtucket city, Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G44059000","2022","RI",,,"Rhode Island","44",,,"Providence city","59000",,,,,,,,,,,,,,,,"1600000US4459000","4459000","Providence city, Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Providence city, Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G44074300","2022","RI",,,"Rhode Island","44",,,"Warwick city","74300",,,,,,,,,,,,,,,,"1600000US4474300","4474300","Warwick city, Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warwick city, Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G45013330","2022","SC",,,"South Carolina","45",,,"Charleston city","13330",,,,,,,,,,,,,,,,"1600000US4513330","4513330","Charleston city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charleston city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G45016000","2022","SC",,,"South Carolina","45",,,"Columbia city","16000",,,,,,,,,,,,,,,,"1600000US4516000","4516000","Columbia city, South Carolina",25602,73,166,279,32,0,0,0,245,47,72,0,483,265,1616,1154,2994,1229,2306,2538,5117,1987,3366,628,554,108,343,"Columbia city, South Carolina",1983,70,206,321,54,222,222,222,304,57,93,222,288,270,889,594,1033,619,863,675,1310,722,700,341,373,139,391
"G45030850","2022","SC",,,"South Carolina","45",,,"Greenville city","30850",,,,,,,,,,,,,,,,"1600000US4530850","4530850","Greenville city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenville city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G45048535","2022","SC",,,"South Carolina","45",,,"Mount Pleasant town","48535",,,,,,,,,,,,,,,,"1600000US4548535","4548535","Mount Pleasant town, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mount Pleasant town, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G45050875","2022","SC",,,"South Carolina","45",,,"North Charleston city","50875",,,,,,,,,,,,,,,,"1600000US4550875","4550875","North Charleston city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Charleston city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G45061405","2022","SC",,,"South Carolina","45",,,"Rock Hill city","61405",,,,,,,,,,,,,,,,"1600000US4561405","4561405","Rock Hill city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rock Hill city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G46052980","2022","SD",,,"South Dakota","46",,,"Rapid City city","52980",,,,,,,,,,,,,,,,"1600000US4652980","4652980","Rapid City city, South Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rapid City city, South Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G46059020","2022","SD",,,"South Dakota","46",,,"Sioux Falls city","59020",,,,,,,,,,,,,,,,"1600000US4659020","4659020","Sioux Falls city, South Dakota",53913,269,166,491,541,214,394,161,319,50,350,348,496,426,1312,1631,3986,2678,9178,8018,10015,6867,4264,578,518,0,643,"Sioux Falls city, South Dakota",2478,225,165,432,422,274,365,165,245,81,328,280,396,319,686,799,1119,896,1871,1715,1574,1336,1054,313,294,172,476
"G47014000","2022","TN",,,"Tennessee","47",,,"Chattanooga city","14000",,,,,,,,,,,,,,,,"1600000US4714000","4714000","Chattanooga city, Tennessee",44380,392,101,200,128,30,228,105,283,158,139,672,804,491,1573,2865,2720,2133,5319,5665,8931,5875,3309,1262,642,43,312,"Chattanooga city, Tennessee",2936,461,124,257,152,51,210,124,407,158,166,475,385,376,556,1104,1017,823,1314,1444,1944,1352,847,419,323,69,308
"G47015160","2022","TN",,,"Tennessee","47",,,"Clarksville city","15160",,,,,,,,,,,,,,,,"1600000US4715160","4715160","Clarksville city, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarksville city, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G47027740","2022","TN",,,"Tennessee","47",,,"Franklin city","27740",,,,,,,,,,,,,,,,"1600000US4727740","4727740","Franklin city, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin city, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G47037640","2022","TN",,,"Tennessee","47",,,"Jackson city","37640",,,,,,,,,,,,,,,,"1600000US4737640","4737640","Jackson city, Tennessee",14753,33,465,0,156,35,269,51,62,244,496,0,199,478,1463,226,1964,328,2430,1452,2328,1151,536,231,156,0,0,"Jackson city, Tennessee",1317,61,392,225,215,60,225,95,115,213,371,225,188,379,615,199,763,258,738,652,804,528,290,241,154,225,225
"G47038320","2022","TN",,,"Tennessee","47",,,"Johnson City city","38320",,,,,,,,,,,,,,,,"1600000US4738320","4738320","Johnson City city, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson City city, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G47040000","2022","TN",,,"Tennessee","47",,,"Knoxville city","40000",,,,,,,,,,,,,,,,"1600000US4740000","4740000","Knoxville city, Tennessee",38224,505,0,144,59,0,0,74,175,165,880,431,600,891,1808,1403,4135,2089,7717,5761,4977,2769,2492,773,142,38,196,"Knoxville city, Tennessee",2706,471,225,167,97,225,225,90,178,129,493,272,334,593,723,633,956,761,1495,1175,1103,835,599,379,158,62,198
"G47048000","2022","TN",,,"Tennessee","47",,,"Memphis city","48000",,,,,,,,,,,,,,,,"1600000US4748000","4748000","Memphis city, Tennessee",117057,1567,1039,494,1260,865,1113,481,1923,3117,5605,4266,5532,3836,9695,6965,11503,6942,11483,11167,11768,6622,6596,1487,1057,226,448,"Memphis city, Tennessee",4840,629,662,310,561,370,449,352,672,861,1108,913,1352,980,1827,1502,2299,1634,1803,1918,1996,1248,1342,660,568,189,312
"G47051560","2022","TN",,,"Tennessee","47",,,"Murfreesboro city","51560",,,,,,,,,,,,,,,,"1600000US4751560","4751560","Murfreesboro city, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Murfreesboro city, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G47052006","2022","TN",,,"Tennessee","47",,,"Nashville-Davidson metropolitan government (balance)","52006",,,,,,,,,,,,,,,,"1600000US4752006","4752006","Nashville-Davidson metropolitan government (balance), Tennessee",166532,1034,498,534,55,309,505,412,289,330,544,733,228,55,1335,617,3043,2154,11002,12361,37194,30979,35209,12682,8344,2445,3641,"Nashville-Davidson metropolitan government (balance), Tennessee",4630,516,479,458,94,232,312,351,259,322,587,436,242,93,712,337,871,636,2407,2053,3428,3175,3159,1839,1586,817,1133
"G48001000","2022","TX",,,"Texas","48",,,"Abilene city","01000",,,,,,,,,,,,,,,,"1600000US4801000","4801000","Abilene city, Texas",25097,215,86,599,264,176,261,0,928,378,940,645,675,653,2526,977,2339,2306,3171,2393,3713,908,434,281,0,0,229,"Abilene city, Texas",2061,172,109,430,209,134,194,237,466,245,527,463,329,287,747,412,740,842,1165,770,1241,384,264,262,237,237,243
"G48001924","2022","TX",,,"Texas","48",,,"Allen city","01924",,,,,,,,,,,,,,,,"1600000US4801924","4801924","Allen city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allen city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48003000","2022","TX",,,"Texas","48",,,"Amarillo city","03000",,,,,,,,,,,,,,,,"1600000US4803000","4803000","Amarillo city, Texas",49113,675,575,217,179,66,89,223,972,583,826,1116,2229,1550,3944,3933,4192,4245,6999,6272,5072,2268,1566,815,244,0,263,"Amarillo city, Texas",2489,326,345,323,158,101,112,264,703,360,479,616,855,642,1045,1161,1000,1187,1307,1356,1060,948,575,473,336,237,242
"G48004000","2022","TX",,,"Texas","48",,,"Arlington city","04000",,,,,,,,,,,,,,,,"1600000US4804000","4804000","Arlington city, Texas",75741,1564,117,179,382,700,232,337,48,405,388,98,378,739,1850,2173,2011,5409,11260,13532,19741,7019,5783,669,192,217,318,"Arlington city, Texas",3464,817,140,148,313,704,168,397,81,473,279,163,438,569,712,781,652,1387,1820,1961,2199,1262,1349,309,182,167,249
"G48004462","2022","TX",,,"Texas","48",,,"Atascocita CDP","04462",,,,,,,,,,,,,,,,"1600000US4804462","4804462","Atascocita CDP, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atascocita CDP, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48005000","2022","TX",,,"Texas","48",,,"Austin city","05000",,,,,,,,,,,,,,,,"1600000US4805000","4805000","Austin city, Texas",202696,1539,532,0,169,165,52,240,237,355,809,278,219,156,1077,350,1322,1363,5635,7530,20246,35035,64615,29973,16493,6205,8101,"Austin city, Texas",6601,611,522,237,199,227,89,226,203,297,632,258,281,135,598,287,640,730,1667,2124,2914,3830,4150,2461,2403,1417,1380
"G48006128","2022","TX",,,"Texas","48",,,"Baytown city","06128",,,,,,,,,,,,,,,,"1600000US4806128","4806128","Baytown city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baytown city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48007000","2022","TX",,,"Texas","48",,,"Beaumont city","07000",,,,,,,,,,,,,,,,"1600000US4807000","4807000","Beaumont city, Texas",26044,502,56,168,386,108,404,365,699,928,753,1455,1284,1183,2801,1873,1785,2027,2632,2120,3078,862,180,364,0,0,31,"Beaumont city, Texas",2340,476,89,173,367,134,398,263,376,493,385,686,630,731,1012,772,788,1027,1155,987,827,458,181,332,237,237,59
"G48010768","2022","TX",,,"Texas","48",,,"Brownsville city","10768",,,,,,,,,,,,,,,,"1600000US4810768","4810768","Brownsville city, Texas",33107,464,120,151,517,123,185,373,1162,1486,1252,1398,2742,1445,4011,3384,2605,2962,2941,1686,2826,631,571,72,0,0,0,"Brownsville city, Texas",1968,379,139,241,263,209,156,253,506,582,481,641,785,578,842,1063,689,1185,799,676,1232,395,379,94,237,237,237
"G48010912","2022","TX",,,"Texas","48",,,"Bryan city","10912",,,,,,,,,,,,,,,,"1600000US4810912","4810912","Bryan city, Texas",18415,471,202,455,250,0,36,130,640,480,117,170,97,84,614,433,1405,1974,4994,2235,2103,780,204,346,45,0,150,"Bryan city, Texas",1487,365,192,510,263,237,58,216,515,368,190,174,110,104,396,350,708,744,1295,755,572,469,153,327,75,237,145
"G48013024","2022","TX",,,"Texas","48",,,"Carrollton city","13024",,,,,,,,,,,,,,,,"1600000US4813024","4813024","Carrollton city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carrollton city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48013552","2022","TX",,,"Texas","48",,,"Cedar Park city","13552",,,,,,,,,,,,,,,,"1600000US4813552","4813552","Cedar Park city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cedar Park city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48015976","2022","TX",,,"Texas","48",,,"College Station city","15976",,,,,,,,,,,,,,,,"1600000US4815976","4815976","College Station city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"College Station city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48016432","2022","TX",,,"Texas","48",,,"Conroe city","16432",,,,,,,,,,,,,,,,"1600000US4816432","4816432","Conroe city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conroe city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48017000","2022","TX",,,"Texas","48",,,"Corpus Christi city","17000",,,,,,,,,,,,,,,,"1600000US4817000","4817000","Corpus Christi city, Texas",70223,906,343,396,317,79,621,76,647,638,1155,1313,2303,2621,4713,4448,6193,6882,11229,7753,9624,3117,3822,427,257,37,306,"Corpus Christi city, Texas",3694,427,216,261,223,131,565,95,415,407,613,663,741,808,1253,1111,1760,1584,1884,1560,1664,836,1018,291,200,63,305
"G48019000","2022","TX",,,"Texas","48",,,"Dallas city","19000",,,,,,,,,,,,,,,,"1600000US4819000","4819000","Dallas city, Texas",223937,2758,2176,1200,1311,1122,1456,449,867,1414,1791,2062,3021,2201,9076,6276,13390,9868,23844,21489,30353,19747,32622,16718,8643,5125,4958,"Dallas city, Texas",6205,922,877,616,710,615,859,446,647,674,885,778,1190,919,1758,1355,2449,2267,2971,2770,2515,2746,2982,2125,1195,1042,775
"G48019972","2022","TX",,,"Texas","48",,,"Denton city","19972",,,,,,,,,,,,,,,,"1600000US4819972","4819972","Denton city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denton city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48022660","2022","TX",,,"Texas","48",,,"Edinburg city","22660",,,,,,,,,,,,,,,,"1600000US4822660","4822660","Edinburg city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edinburg city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48024000","2022","TX",,,"Texas","48",,,"El Paso city","24000",,,,,,,,,,,,,,,,"1600000US4824000","4824000","El Paso city, Texas",145878,1429,1793,1983,1097,315,478,450,671,689,307,2353,5606,4943,14814,16827,18121,15703,22820,12501,14040,3755,2897,1185,435,0,666,"El Paso city, Texas",4532,485,843,805,668,311,462,574,599,368,296,829,1479,1070,1685,2599,2359,2124,3546,2063,2386,1209,1181,672,260,237,499
"G48026232","2022","TX",,,"Texas","48",,,"Flower Mound town","26232",,,,,,,,,,,,,,,,"1600000US4826232","4826232","Flower Mound town, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flower Mound town, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48027000","2022","TX",,,"Texas","48",,,"Fort Worth city","27000",,,,,,,,,,,,,,,,"1600000US4827000","4827000","Fort Worth city, Texas",206215,2110,577,904,892,1016,483,572,1082,979,1280,1220,2630,2848,7541,5310,8823,9654,26770,32557,51319,25703,13568,4690,1796,583,1308,"Fort Worth city, Texas",5923,909,347,601,733,647,378,410,660,599,744,567,1244,1009,1678,1427,1495,1870,2852,3538,3846,2434,1755,1144,648,377,706
"G48027684","2022","TX",,,"Texas","48",,,"Frisco city","27684",,,,,,,,,,,,,,,,"1600000US4827684","4827684","Frisco city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frisco city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48029000","2022","TX",,,"Texas","48",,,"Garland city","29000",,,,,,,,,,,,,,,,"1600000US4829000","4829000","Garland city, Texas",48030,935,99,61,145,0,39,0,0,79,69,240,428,302,342,1495,3477,2714,10010,10292,11311,3377,1984,317,159,0,155,"Garland city, Texas",3120,582,165,99,171,237,66,237,237,128,116,231,356,291,206,672,1101,836,1677,1604,1942,1099,642,266,209,237,195
"G48029336","2022","TX",,,"Texas","48",,,"Georgetown city","29336",,,,,,,,,,,,,,,,"1600000US4829336","4829336","Georgetown city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgetown city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48030464","2022","TX",,,"Texas","48",,,"Grand Prairie city","30464",,,,,,,,,,,,,,,,"1600000US4830464","4830464","Grand Prairie city, Texas",43986,535,451,0,242,193,426,318,509,275,58,161,259,168,1215,1407,2607,1739,7217,6895,8881,6663,3110,312,67,83,195,"Grand Prairie city, Texas",2621,524,414,237,215,171,422,264,534,249,96,158,259,184,679,757,925,711,1892,1276,1544,1598,716,241,60,137,147
"G48032372","2022","TX",,,"Texas","48",,,"Harlingen city","32372",,,,,,,,,,,,,,,,"1600000US4832372","4832372","Harlingen city, Texas",15694,321,34,0,115,176,101,0,824,615,800,820,1726,514,1928,1538,950,1151,1407,467,1148,601,294,0,17,0,147,"Harlingen city, Texas",1741,237,57,237,144,203,121,237,473,473,386,443,800,493,766,753,432,529,633,338,633,413,244,237,30,237,160
"G48035000","2022","TX",,,"Texas","48",,,"Houston city","35000",,,,,,,,,,,,,,,,"1600000US4835000","4835000","Houston city, Texas",386376,4098,955,2522,1909,1788,482,744,2102,3990,3872,4393,8194,6088,20808,14184,29404,26763,48042,37756,54693,32238,43597,16745,10854,4986,5169,"Houston city, Texas",7670,1396,453,1253,646,845,324,435,669,1145,1349,1402,1524,1749,2752,2054,3047,3306,4322,3721,3294,3008,3589,2121,1640,1045,1115
"G48037000","2022","TX",,,"Texas","48",,,"Irving city","37000",,,,,,,,,,,,,,,,"1600000US4837000","4837000","Irving city, Texas",36308,405,448,130,138,283,212,0,544,143,48,0,444,376,857,716,1687,2025,5968,4375,6081,3887,5191,2131,145,0,74,"Irving city, Texas",1982,219,402,218,179,283,204,237,368,167,81,237,375,334,417,528,681,925,1243,970,1210,845,1082,667,135,237,108
"G48039148","2022","TX",,,"Texas","48",,,"Killeen city","39148",,,,,,,,,,,,,,,,"1600000US4839148","4839148","Killeen city, Texas",30259,312,223,271,328,81,40,79,0,217,609,254,643,667,2539,1465,3540,3626,5125,4418,4521,640,661,0,0,0,0,"Killeen city, Texas",2711,311,221,194,243,104,66,128,237,239,419,256,424,449,1190,644,1005,1187,1210,1171,1321,552,508,237,237,237,237
"G48041464","2022","TX",,,"Texas","48",,,"Laredo city","41464",,,,,,,,,,,,,,,,"1600000US4841464","4841464","Laredo city, Texas",49789,734,413,329,273,516,304,274,586,284,888,928,2120,2569,4769,3029,7219,5593,5499,4832,5157,409,1941,763,304,0,56,"Laredo city, Texas",2751,502,466,353,216,326,271,285,399,287,507,607,846,1413,1199,1043,1728,1144,1509,1660,1236,454,918,711,320,237,95
"G48041980","2022","TX",,,"Texas","48",,,"League City city","41980",,,,,,,,,,,,,,,,"1600000US4841980","4841980","League City city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"League City city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48042016","2022","TX",,,"Texas","48",,,"Leander city","42016",,,,,,,,,,,,,,,,"1600000US4842016","4842016","Leander city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leander city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48042508","2022","TX",,,"Texas","48",,,"Lewisville city","42508",,,,,,,,,,,,,,,,"1600000US4842508","4842508","Lewisville city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lewisville city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48043888","2022","TX",,,"Texas","48",,,"Longview city","43888",,,,,,,,,,,,,,,,"1600000US4843888","4843888","Longview city, Texas",17041,232,139,69,0,0,0,0,260,340,167,514,666,288,1047,1501,1971,752,3243,2876,2289,215,160,312,0,0,0,"Longview city, Texas",1503,284,169,126,237,237,237,237,226,261,200,327,459,239,775,616,977,434,1070,1006,772,183,187,328,237,237,237
"G48045000","2022","TX",,,"Texas","48",,,"Lubbock city","45000",,,,,,,,,,,,,,,,"1600000US4845000","4845000","Lubbock city, Texas",55142,309,474,546,442,853,334,303,590,684,859,759,1312,977,3588,3414,5036,5157,9414,7496,4689,2951,2195,1639,697,32,392,"Lubbock city, Texas",2469,219,332,456,422,560,255,455,439,420,672,508,655,434,929,1219,1041,1063,1241,1356,1042,824,564,1017,579,51,333
"G48045384","2022","TX",,,"Texas","48",,,"McAllen city","45384",,,,,,,,,,,,,,,,"1600000US4845384","4845384","McAllen city, Texas",30604,326,37,165,351,228,118,189,687,527,659,1136,832,1846,2551,3772,2569,2526,3650,2478,3686,1173,584,375,89,0,50,"McAllen city, Texas",2072,206,61,137,262,142,109,221,506,268,351,600,473,945,734,972,858,790,964,652,992,572,424,424,106,237,85
"G48045744","2022","TX",,,"Texas","48",,,"McKinney city","45744",,,,,,,,,,,,,,,,"1600000US4845744","4845744","McKinney city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"McKinney city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48046452","2022","TX",,,"Texas","48",,,"Mansfield city","46452",,,,,,,,,,,,,,,,"1600000US4846452","4846452","Mansfield city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mansfield city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48047892","2022","TX",,,"Texas","48",,,"Mesquite city","47892",,,,,,,,,,,,,,,,"1600000US4847892","4847892","Mesquite city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mesquite city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48048072","2022","TX",,,"Texas","48",,,"Midland city","48072",,,,,,,,,,,,,,,,"1600000US4848072","4848072","Midland city, Texas",33860,213,364,184,128,356,0,76,332,262,278,0,814,174,290,1119,1619,2379,4309,5139,8128,3545,1967,1520,554,47,63,"Midland city, Texas",2231,326,343,224,215,442,237,128,326,271,448,237,710,213,238,618,593,1054,1171,1435,1791,1066,615,846,290,82,106
"G48048768","2022","TX",,,"Texas","48",,,"Mission city","48768",,,,,,,,,,,,,,,,"1600000US4848768","4848768","Mission city, Texas",21153,87,148,405,43,0,550,154,499,602,1542,503,708,415,2605,963,1448,2378,2817,2015,2343,438,251,103,78,0,58,"Mission city, Texas",1967,146,133,484,75,237,423,251,333,473,761,381,460,354,948,636,660,870,927,686,880,469,211,123,95,237,97
"G48048804","2022","TX",,,"Texas","48",,,"Missouri City city","48804",,,,,,,,,,,,,,,,"1600000US4848804","4848804","Missouri City city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri City city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48050820","2022","TX",,,"Texas","48",,,"New Braunfels city","50820",,,,,,,,,,,,,,,,"1600000US4850820","4850820","New Braunfels city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Braunfels city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48052356","2022","TX",,,"Texas","48",,,"North Richland Hills city","52356",,,,,,,,,,,,,,,,"1600000US4852356","4852356","North Richland Hills city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Richland Hills city, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G48053388","2022","TX",,,"Texas","48",,,"Odessa city","53388",,,,,,,,,,,,,,,,"1600000US4853388","4853388","Odessa city, Texas",28756,369,189,123,88,0,0,0,245,21,726,1148,1507,518,2133,1003,2666,2996,4784,3767,4731,621,644,351,126,0,0,"Odessa city, Texas",2506,316,214,153,173,237,237,237,346,33,479,1091,790,454,1009,550,1065,1090,1514,1150,1579,443,401,332,232,237,237
