GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN6BE001,AN6BE002,AN6BE003,NAME_M,AN6BM001,AN6BM002,AN6BM003
"G06053896","2021","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"1600000US0653896","0653896","Ontario city, California",57356,55819,1537,"Ontario city, California",2464,2305,567
"G06053980","2021","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"1600000US0653980","0653980","Orange city, California",45377,43291,2086,"Orange city, California",1968,1660,835
"G06054652","2021","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"1600000US0654652","0654652","Oxnard city, California",53778,50611,3167,"Oxnard city, California",2323,2120,1068
"G06055156","2021","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"1600000US0655156","0655156","Palmdale city, California",47738,46650,1088,"Palmdale city, California",1927,1796,634
"G06055282","2021","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"1600000US0655282","0655282","Palo Alto city, California",27757,24501,3256,"Palo Alto city, California",1942,1572,1163
"G06056000","2021","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"1600000US0656000","0656000","Pasadena city, California",64644,56992,7652,"Pasadena city, California",2924,2750,1517
"G06056700","2021","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"1600000US0656700","0656700","Perris city, California",19964,19923,41,"Perris city, California",1481,1482,68
"G06057456","2021","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"1600000US0657456","0657456","Pittsburg city, California",24600,23827,773,"Pittsburg city, California",1723,1587,584
"G06057792","2021","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"1600000US0657792","0657792","Pleasanton city, California",30092,29330,762,"Pleasanton city, California",1391,1365,500
"G06058072","2021","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"1600000US0658072","0658072","Pomona city, California",41376,40142,1234,"Pomona city, California",1710,1611,682
"G06059444","2021","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"1600000US0659444","0659444","Rancho Cordova city, California",30125,28428,1697,"Rancho Cordova city, California",1733,1541,743
"G06059451","2021","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"1600000US0659451","0659451","Rancho Cucamonga city, California",59083,57290,1793,"Rancho Cucamonga city, California",2631,2592,1016
"G06059920","2021","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"1600000US0659920","0659920","Redding city, California",39738,37302,2436,"Redding city, California",1708,1712,1135
"G06059962","2021","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"1600000US0659962","0659962","Redlands city, California",25688,24452,1236,"Redlands city, California",2488,2435,780
"G06060018","2021","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"1600000US0660018","0660018","Redondo Beach city, California",28355,26986,1369,"Redondo Beach city, California",2941,2898,716
