GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G06059962","2017","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",29115,26264,2851,"Redlands city, California",2184,1937,1221
"G06060018","2017","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",31072,28081,2991,"Redondo Beach city, California",2217,1670,1150
"G06060102","2017","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",33166,32344,822,"Redwood City city, California",1670,1632,401
"G06060466","2017","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",28261,26699,1562,"Rialto city, California",1573,1427,673
"G06060620","2017","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",40489,37029,3460,"Richmond city, California",2133,2003,977
"G06062000","2017","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",91403,86905,4498,"Riverside city, California",3577,3358,1166
"G06062938","2017","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",52739,50198,2541,"Roseville city, California",1978,1840,809
"G06064000","2017","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",199760,189193,10567,"Sacramento city, California",3791,3813,1815
"G06064224","2017","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",42742,41218,1524,"Salinas city, California",1920,1864,562
"G06065000","2017","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",68414,60714,7700,"San Bernardino city, California",2939,2587,1377
